제목,언론사,날짜,링크
KT 임대주택 운영사 사명 변경…KD리빙→KT리빙,뉴시스,20240514,https://www.newsis.com/view/?id=NISX20240514_0002734135&cID=10405&pID=10400
"KT-팜프로, IoT 기반 가축 건강관리·질병예방한다",뉴시스,20240515,https://www.newsis.com/view/?id=NISX20240515_0002735494&cID=10809&pID=10800
"KT, 건강보험공단 목소리인증 상용화…공공기관 최초",이코노미스트,20240516,https://economist.co.kr/article/view/ecn202405160044
"도미노피자, 'KT 달달혜택' 프로모션 진행",뉴스1,20240517,https://www.news1.kr/articles/5418212
"김범석, 첫 연타석 대포 폭발…LG, kt 추격 뿌리치고 진땀승",연합뉴스,20240518,https://www.yna.co.kr/view/AKR20240518043000007?input=1195m
"야구장서 날아 올라…KT, 난청 아동에 열기구 탑승 체험 제공",뉴시스,20240519,https://www.newsis.com/view/?id=NISX20240519_0002739651&cID=10406&pID=13100
"KT 새 브랜드 슬로건 'KT, 당신과 미래 사이에' 공개",연합뉴스,20240520,https://www.yna.co.kr/view/AKR20240520024400017?input=1195m
"KT, 3D 생성형 AI 기술로 백남준 전시 구현",조선비즈,20240521,https://biz.chosun.com/it-science/ict/2024/05/21/52XI36XUVJHJXCL57HYYJQJEOY/?utm_source=naver&utm_medium=original&utm_campaign=biz
"KT, 전국 소상공인 900명 대상 인플루언서 교육",연합뉴스,20240522,https://www.yna.co.kr/view/AKR20240522060100017?input=1195m
"KT, 국내 최고 속도 양자 암호 통신 기술 개발",연합뉴스,20240523,https://www.yna.co.kr/view/AKR20240523036100017?input=1195m
"부산에 글로벌허브센터 연 kt클라우드, 전 세계 데이터 하나로 '연결'",지디넷코리아,20240524,https://zdnet.co.kr/view/?no=20240524144429
"[단독]KT, 113만 규모 한전 원격검침 사업 따냈다",뉴시스,20240525,https://www.newsis.com/view/?id=NISX20240525_0002748192&cID=13005&pID=13100
"KT 청년 멤버십 'Y포차', 꽃다발 만들기 수업 진행",뉴시스,20240526,https://www.newsis.com/view/?id=NISX20240526_0002748357&cID=13004&pID=13100
보행자 툭 튀어 나오니 스스로 멈춰섰다…KT 자율주행버스 '주야로' 타보...,뉴시스,20240527,https://www.newsis.com/view/?id=NISX20240527_0002749697&cID=10435&pID=13000
"KT, 수도권 주민 '생활이동 데이터' 개발…교통·주택 등 개선 기대",뉴시스,20240528,https://www.newsis.com/view/?id=NISX20240528_0002750715&cID=13005&pID=13100
"KT SAT, 獨 리바다와 저궤도 위성 사업 확대 '맞손'",뉴시스,20240529,https://www.newsis.com/view/?id=NISX20240529_0002752318&cID=13004&pID=13100
"KT ""AI 교육 챗봇 기술 필요해요""했더니 스타트업이 사업 역제안",뉴시스,20240530,https://www.newsis.com/view/?id=NISX20240530_0002754055&cID=13004&pID=13100
"KT, 정보사회세계정상회의서 국내 기업 중 첫 수상",뉴시스,20240531,https://www.newsis.com/view/?id=NISX20240531_0002756037&cID=13005&pID=13100
"네일 7이닝 비자책 역투…선두 KIA, KT에 4-2 승",뉴시스,20240601,https://www.newsis.com/view/?id=NISX20240601_0002757393&cID=10502&pID=10500
"KT, AI 기반 3차원 통신 품질 정보 측정·개선 시스템 도입",연합뉴스,20240602,https://www.yna.co.kr/view/AKR20240531128600017?input=1195m
"KT ‘프리미엄 가족결합’, 최대 7명까지 묶인다",지디넷코리아,20240603,https://zdnet.co.kr/view/?no=20240603092227
"MS와 AI 손 잡은 KT…""'믿음'은 산업맞춤형 진화""(종합)",연합뉴스,20240604,https://www.yna.co.kr/view/AKR20240604028151017?input=1195m
