제목,언론사,날짜,링크
"아주대학교 정보통신대학, 종합방위산업체 LIG넥스원과 MOU 체결",한국강사신문,20200716,http://www.lecturernews.com/news/articleView.html?idxno=44168
"軍, 공군 방공관제부대용 장거리 레이더 개발 업체 선정 착수",뉴시스,20200717,http://www.newsis.com/view/?id=NISX20200717_0001098908&cID=10301&pID=10300
"LG전자-LIG넥스원, 군용 드론 모터 개발 나선다",연합뉴스,20200719,http://yna.kr/PYH20200719015600003?did=1196m
LG전자-LIG넥스원 '군용 드론' 개발 협력,이코노믹리뷰,20200720,http://m.econovill.com/news/articleView.html?idxno=405247
"LG전자-LIG넥스원, 군용 드론 모터 개발 손잡았다",보안뉴스,20200721,http://www.boannews.com/media/view.asp?idx=89915&kind=
"헬리오스PE ""KCGI와 인수한 이노와이어리스, 주가 290% 상승""",조선비즈,20200722,https://biz.chosun.com/site/data/html_dir/2020/07/22/2020072201673.html?utm_source=naver&utm_medium=original&utm_campaign=biz
1조 함정 KDDX 도전하는 LIG넥스원을 가다,주간조선,20200723,http://weekly.chosun.com/client/news/viw.asp?nNewsNumb=002617100015&ctcd=C02
"LG전자, LIG넥스원과 손잡고 군용 드론 모터 개발 박차 가해",헬로티,20200724,http://www.hellot.net/new_hellot/magazine/magazine_read.html?code=201&sub=004&idx=53517
영원한 맞수 '한화시스템 VS LIG넥스원',아시아경제,20200725,https://view.asiae.co.kr/article/2020072410120330529
"헬리오스PE, 이동장비업체 투자 `대박`",매일경제,20200726,http://news.mk.co.kr/newsRead.php?no=763238&year=2020
[내일도 필식] 삼전이 시장 하락을 막았다! 여전히 고점은 막혀있다!,머니투데이방송,20200727,http://m.mtn.co.kr/news/news_view.php?id=2020072716283186206
우주발사체 고체연료 허용…정찰위성·중장거리미사일 토대마련,톱스타뉴스,20200728,http://www.topstarnews.net/news/articleView.html?idxno=823283
29일 코스피 순매매 기관 상위종목(확정),뉴스토마토,20200729,http://www.newstomato.com/ReadNews.aspx?no=987075
‘KDDX’ 수주전 본격화… 달아오르는 방산·조선업계,이데일리,20200730,https://n.news.naver.com/article/018/0004702072?sid=101
국산 이지스함 수주전 ‘불꽃경쟁’…한화시스템 VS LIG넥스원 승자는?,아시아타임즈,20200731,https://m.asiatime.co.kr/news/newsview.php?ncode=1065593001591302
한국군 '미사일 주권 마지막 족쇄'…사거리 제한 800km만 남았다,톱스타뉴스,20200801,http://www.topstarnews.net/news/articleView.html?idxno=824140
[밀톡]중국 이지스함과 맞설 1조3000억 스마트 스텔스함 뜬다,조선일보,20200802,https://www.chosun.com/site/data/html_dir/2020/08/02/2020080200710.html?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
"한화시스템·LIG넥스원, 한국형 차기구축함 두뇌 개발 수주전 본격화",아주경제,20200803,http://www.ajunews.com/view/20200803085213444
"방산업계, 하반기도 상승세 전망… '軍전력 고도화·해외수요 증가' 영...",뉴데일리,20200804,http://biz.newdaily.co.kr/site/data/html/2020/08/04/2020080400053.html
"[방위산업 누가 뛰나] LIG넥스원, 한계 돌파 구상은…'미래 이동수단 사업'",뉴스핌,20200805,http://m.newspim.com/news/view/20200729001000
'100%방산' LIG넥스원. 2Q 호실적…천궁·해궁 매출 견인,뉴스1,20200806,https://www.news1.kr/articles/?4017568
[데스크리포트] 8월 기업 동향과 전망-정유 화학 방산,비즈니스포스트,20200807,http://www.businesspost.co.kr/BP?command=article_view&num=190874
“첨단 레이더·공대지미사일 국내개발”…KF-X 영향 미칠까 [박수찬의 軍],세계일보,20200808,https://n.news.naver.com/article/022/0003491851?sid=100
"[K-Biz 리뷰] 삼성중공업, 러 쇄빙 LNG선 10척 발주에 '화색'·대우조선,...",더구루,20200809,https://www.theguru.co.kr/news/article.html?no=13123
"국방부, 북한 장사정포 막을 '한국판 아이언돔' 개발·4천t급 잠수함과...",톱스타뉴스,20200810,http://www.topstarnews.net/news/articleView.html?idxno=826002
"[더벨]박승운 빅텍 회장, CB 콜옵션 평가익 '44억'",더벨,20200811,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202008071423004880103980
[양낙규의 Defence Club]현대중공업이 사상 최대액 수주한 KDDX는,아시아경제,20200812,https://n.news.naver.com/article/277/0004735413?sid=100
해군 첫 스텔스구축함 전투체계 수주戰… 한화시스템 vs LIG넥스원 승자...,신동아,20200813,https://shindonga.donga.com/3/all/13/2148922/1
"LIG넥스원, 상반기 영업익 139%↑… 주력사업 수주 호조",이데일리,20200814,http://www.edaily.co.kr/news/newspath.asp?newsid=02394406625867320
K항모·핵잠수함 수주 '물밑 경쟁',한국경제,20200816,https://n.news.naver.com/article/015/0004399432?sid=101
